ФКТ;Вечернее;ВМСиС;Вычислительные машины, системы и сети;ПОИТ;4-й курс;380561;МГ##Зачет,АОКС##Зачет,КиД СВТ (поит)##Экзамен,ЗИвВС (эвм)##Зачет,МСиСвИК##Зачет,СиФО ЭВМ#Курсовой проект#,Моделирование##Экзамен,ОУИС##Зачет,АПВМиС##Экзамен,ТПЦУиС##Экзамен;Председатель ГЭК##,Секретарь ГЭК##,Выпуск кафедре##,Декану, зам.декана (ГЭК)##,Специалист внешний##,Конс. по нормоконтролю##,Рецензент ГЭК##,ГЭК##Экзамен,Руководство ДП##,Ответств. на каф за ПДП ##,Ответств. на каф за ДП##,Гос экз, консультации##,Гос экз, прием, проверка##Экзамен,Конс. по экономике##,Преддиплом. практика##Экзамен,Раб. комиссия##,Председатель ГАК##;
ФКТ;Вечернее;ВМСиС;Вычислительные машины, системы и сети;;4-й курс;380562,380563;МГ##Зачет,АОКС##Зачет,КиД СВТ (поит)##Экзамен,ЗИвВС (эвм)##Зачет,СиФО ЭВМ#Курсовой проект#,Моделирование##Экзамен,ОУИС##Зачет,АПВМиС##Экзамен,ТПЦУиС##Экзамен;Председатель ГЭК##,Секретарь ГЭК##,Выпуск кафедре##,Декану, зам.декана (ГЭК)##,Специалист внешний##,Конс. по нормоконтролю##,Рецензент ГЭК##,ГЭК##Экзамен,Руководство ДП##,Ответств. на каф за ПДП ##,Ответств. на каф за ДП##,Гос экз, консультации##,Гос экз, прием, проверка##Экзамен,Конс. по экономике##,Преддиплом. практика##Экзамен,Раб. комиссия##,Председатель ГАК##;
ФКТ;Вечернее;ИТиУТС;Информационные технологии и управление в технических системах;;4-й курс;382461,382462;ЛСА#Курсовой проект#,СТП##Экзамен,ОиАС##Экзамен,ТПиЗД##Экзамен,ПУПР##Экзамен,МвПСС##Экзамен;Председатель ГЭК##,Секретарь ГЭК##,Выпуск кафедре##,Декану, зам.декана (ГЭК)##,Специалист внешний##,Конс. по нормоконтролю##,Рецензент ГЭК##,ГЭК##Экзамен,Руководство ДП##,Ответств. на каф за ПДП ##,Ответств. на каф за ДП##,Гос экз, консультации##,Гос экз, прием, проверка##Экзамен,Конс. по экономике##,Преддиплом. практика##Экзамен,Раб. комиссия##,Председатель ГАК##;
ФКТ;Вечернее;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;4-й курс;380961;ИвСИТ##Экзамен,ТиПИППиЭ#Курсовой проект#Экзамен,АиПОС##Экзамен,ПВЧсВР##Экзамен,КиСАПЭС##Зачет;Председатель ГЭК##,Секретарь ГЭК##,Выпуск кафедре##,Декану, зам.декана (ГЭК)##,Специалист внешний##,Конс. по нормоконтролю##,Рецензент ГЭК##,ГЭК##Экзамен,Руководство ДП##,Ответств. на каф за ПДП ##,Ответств. на каф за ДП##,Гос экз, консультации##,Гос экз, прием, проверка##Экзамен,Конс. по экономике##,Преддиплом. практика##Экзамен,Раб. комиссия##,Председатель ГАК##;
ФКТ;Заочное;ИПОИТ;Инженерно-психологическое обеспечение информационных технологий;;1-й курс;680971;Математика##Экзамен,ОКП (ипиэ)#Курсовая работа#Зачет,ОАиП (ВМиП)##Экзамен,Экономика##Экзамен,История##Зачет,ИКГ##Зачет,Ин.яз 1##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Политология##Зачет;Математика##Экзамен,ОИАД##Экзамен,ПППД##Зачет,Ин.яз 1##Экзамен,Логика##Зачет,Физика##Экзамен,УИП##Зачет,КП#Курсовой проект#Экзамен;
ФКТ;Заочное;ПОИТ;Программное обеспечение информационных технологий;;1-й курс;681071,681072,681073,681074,681075;Математика##Экзамен,Экономика##Экзамен,История##Зачет,ИКГ##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Ин.яз 2##Зачет,ОАиП (ПОИТ)#Курсовая работа#Экзамен,Политология##Зачет,ОКТ##Экзамен;Математика##Экзамен,МППиУ##Зачет,Логика##Зачет,Физика##Экзамен,Ин.яз 2##Экзамен,АОКТ##Зачет,ЯП#Курсовой проект#Экзамен,СиАОД##Экзамен;
ФКТ;Заочное;ПЭ;Промышленная электроника;;1-й курс;681971,681972;Математика##Экзамен,Экономика##Экзамен,История##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Ин.яз 2##Зачет,Химия##Экзамен,Политология##Зачет;ВОВ сов.народа##Зачет,Математика##Экзамен,ПИиПвИО##Зачет,ОАиП (ВМиП)##Экзамен,Физика##Экзамен,Ин.яз 2##Экзамен,НГиИГ##Экзамен;
ФКТ;Заочное;ИСиТ;Информационные системы и технологии (по направлениям);;1-й курс;682371;ОАиП (ЭИ)##Экзамен,Математика##Экзамен,Экономика##Экзамен,История##Зачет,ИКГ##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Ин.яз 2##Зачет,ОКП (эи)#Курсовая работа#Зачет,Политология##Зачет;Математика##Экзамен,ПСОД##Зачет,ТРПП##Зачет,Логика##Зачет,Физика##Экзамен,ООП (ЭИ)#Курсовой проект#Экзамен,Ин.яз 2##Экзамен,УИП##Зачет;
ФКТ;Заочное;ИТиУТС;Информационные технологии и управление в технических системах;;1-й курс;682471,682472;Математика##Экзамен,Экономика##Экзамен,История##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Ин.яз 2##Зачет,Политология##Зачет;ВОВ сов.народа##Зачет,Математика##Экзамен,ПИиПвИО##Зачет,ОАиП (ВМиП)##Экзамен,Физика##Экзамен,МОТС##Экзамен,Ин.яз 2##Экзамен;
ФКТ;Заочное;ИТиУТС;Информационные технологии и управление в технических системах;Из ВГКС;1-й курс;682473;Математика##Экзамен,Экономика##Экзамен,История##Зачет,Бел.яз. (культура речи)##Зачет,Философия##Экзамен,Ин.яз 2##Зачет,Политология##Зачет;ВОВ сов.народа##Зачет,Математика##Экзамен,ПИиПвИО##Зачет,ОАиП (ВМиП)##Экзамен,Физика##Экзамен,МОТС##Экзамен,Ин.яз 2##Экзамен;
